Time,Channel B,Channel C
(ns),(mV),(mV)

-11.12000012,-0.78740150,-0.78740150
-10.72000011,-1.57480300,0.00000000
-10.32000010,-0.78740150,-0.78740150
-9.92000010,-1.57480300,-0.39370070
-9.52000009,-1.18110200,-0.78740150
-9.12000009,-1.57480300,-0.39370070
-8.72000008,-1.18110200,-0.78740150
-8.32000008,-1.18110200,-0.39370070
-7.92000007,-0.78740150,-0.78740150
-7.52000007,-1.18110200,-0.39370070
-7.12000006,-0.78740150,-0.78740150
-6.72000006,-1.96850400,0.00000000
-6.32000005,-0.78740150,-0.78740150
-5.92000005,-1.96850400,-0.78740150
-5.52000004,-1.18110200,-0.78740150
-5.12000004,-1.96850400,-0.39370070
-4.72000003,-1.18110200,0.00000000
-4.32000002,-1.57480300,-0.39370070
-3.92000002,-1.18110200,-1.18110200
-3.52000001,-1.96850400,-0.78740150
-3.12000001,-0.78740150,-1.18110200
-2.72000000,-1.57480300,-0.39370070
-2.32000000,-0.78740150,-0.78740150
-1.91999999,-0.78740150,-0.39370070
-1.51999999,1.18110200,-0.78740150
-1.11999998,1.57480300,-0.78740150
-0.71999998,2.75590500,-1.18110200
-0.31999997,2.36220500,-0.39370070
0.08000003,4.33070900,-0.78740150
0.48000004,2.75590500,0.00000000
0.88000005,3.14960600,-0.78740150
1.28000005,1.57480300,0.00000000
1.68000006,2.75590500,-0.78740150
2.08000006,0.78740150,0.00000000
2.48000007,1.96850400,-0.39370070
2.88000007,0.78740150,-0.39370070
3.28000008,0.78740150,-0.78740150
3.68000008,-0.39370070,0.00000000
4.08000009,0.00000000,-0.78740150
4.48000009,-0.78740150,-0.39370070
4.88000010,0.00000000,-0.39370070
5.28000010,-0.78740150,0.00000000
5.68000011,-0.39370070,-1.18110200
6.08000011,-1.18110200,-0.39370070
6.48000012,-0.39370070,-0.78740150
6.88000013,-1.18110200,-0.39370070
7.28000013,-1.18110200,-1.18110200
7.68000014,-1.57480300,-0.39370070
8.08000014,-1.18110200,-0.78740150
8.48000015,-1.57480300,-0.78740150
8.88000015,-1.18110200,-0.78740150
9.28000016,-1.96850400,-0.78740150
9.68000016,-0.78740150,-0.78740150
10.08000017,-1.57480300,-0.78740150
10.48000017,-1.18110200,-1.18110200
10.88000018,-1.96850400,-0.39370070
11.28000018,-0.78740150,-0.39370070
11.68000019,-1.57480300,-0.39370070
12.08000019,-1.57480300,-1.18110200
12.48000020,-1.18110200,-0.39370070
12.88000021,-1.18110200,0.00000000
13.28000021,-1.57480300,-0.78740150
13.68000022,-1.18110200,-1.18110200
14.08000022,-1.57480300,-0.78740150
14.48000023,-1.18110200,-0.39370070
14.88000023,-1.96850400,-0.39370070
15.28000024,-0.78740150,-0.78740150
15.68000024,-1.57480300,0.00000000
16.08000025,-1.18110200,-0.78740150
16.48000025,-1.96850400,-0.39370070
16.88000026,-0.78740150,-0.78740150
17.28000026,-1.57480300,0.00000000
17.68000027,-1.18110200,0.00000000
18.08000027,-1.57480300,0.00000000
18.48000028,-1.18110200,-0.78740150
18.88000029,-1.57480300,-0.39370070
19.28000029,-1.18110200,-1.18110200
19.68000030,-1.57480300,-0.78740150
20.08000030,-1.18110200,-0.78740150
20.48000031,-1.96850400,-0.78740150
20.88000031,-1.57480300,-0.78740150
21.28000032,-1.18110200,-0.39370070
21.68000032,-0.78740150,-1.18110200
22.08000033,-1.96850400,-0.39370070
22.48000033,-1.18110200,-0.78740150
22.88000034,-1.57480300,-0.39370070
23.28000034,-1.57480300,-1.18110200
23.68000035,-2.36220500,-0.39370070
24.08000035,-1.18110200,-1.18110200
24.48000036,-1.57480300,-0.78740150
24.88000037,-0.39370070,-0.78740150
25.28000037,-0.78740150,-0.78740150
25.68000038,-0.39370070,-0.78740150
26.08000038,0.00000000,-0.39370070
26.48000039,1.18110200,-0.39370070
26.88000039,0.78740150,-0.78740150
27.28000040,1.57480300,-0.78740150
27.68000040,0.39370070,-0.39370070
28.08000041,1.57480300,-0.39370070
28.48000041,0.78740150,-0.39370070
28.88000042,1.18110200,-0.78740150
29.28000042,0.78740150,-0.39370070
29.68000043,1.18110200,-0.78740150
30.08000043,0.39370070,-1.18110200
30.48000044,0.78740150,-0.78740150
30.88000045,-0.39370070,-0.39370070
31.28000045,0.00000000,-0.78740150
31.68000046,-0.78740150,-1.18110200
32.08000046,-0.39370070,-0.39370070
32.48000047,-1.18110200,-0.39370070
32.88000047,0.00000000,-0.78740150
33.28000048,-1.18110200,0.00000000
33.68000048,-0.78740150,-1.18110200
34.08000049,-1.96850400,-0.39370070
34.48000049,-0.78740150,-1.18110200
34.88000050,-1.18110200,-0.39370070
35.28000050,-1.18110200,-0.78740150
35.68000051,-1.18110200,-0.78740150
36.08000052,-0.39370070,-0.39370070
36.48000052,-1.18110200,-0.39370070
36.88000053,-1.18110200,0.00000000
37.28000053,-1.96850400,0.00000000
37.68000054,-1.18110200,-0.39370070
38.08000054,-1.57480300,-0.39370070
38.48000055,-1.18110200,-0.78740150
38.88000055,-1.96850400,-0.78740150
39.28000056,-1.18110200,-0.78740150
39.68000056,-2.36220500,-0.78740150
40.08000057,-1.18110200,-1.18110200
40.48000057,-1.96850400,0.00000000
40.88000058,-0.78740150,-0.39370070
41.28000058,-2.36220500,0.00000000
41.68000059,-1.57480300,-0.39370070
