Time,Channel B,Channel C
(ns),(mV),(mV)

-31.19999911,-1.18110200,0.39370070
-30.79999911,0.00000000,0.00000000
-30.39999910,-0.39370070,0.78740150
-29.99999910,-0.78740150,0.00000000
-29.59999909,-0.78740150,0.00000000
-29.19999909,0.39370070,0.39370070
-28.79999908,-1.18110200,0.00000000
-28.39999907,-0.39370070,0.00000000
-27.99999907,-1.18110200,0.39370070
-27.59999906,0.00000000,0.39370070
-27.19999906,-1.18110200,0.39370070
-26.79999905,0.39370070,0.00000000
-26.39999905,-0.78740150,0.39370070
-25.99999904,0.00000000,0.39370070
-25.59999904,-0.78740150,0.39370070
-25.19999903,0.00000000,0.39370070
-24.79999903,-0.39370070,0.39370070
-24.39999902,-0.39370070,-0.39370070
-23.99999902,-0.39370070,0.00000000
-23.59999901,0.00000000,0.00000000
-23.19999901,-0.39370070,0.00000000
-22.79999900,0.00000000,0.00000000
-22.39999899,-0.39370070,0.00000000
-21.99999899,-0.39370070,0.00000000
-21.59999898,-0.78740150,0.00000000
-21.19999898,-0.78740150,-0.39370070
-20.79999897,-0.78740150,0.39370070
-20.39999897,-0.39370070,0.00000000
-19.99999896,-0.78740150,0.78740150
-19.59999896,0.00000000,-0.39370070
-19.19999895,-1.57480300,0.39370070
-18.79999895,0.00000000,-0.39370070
-18.39999894,-0.78740150,0.78740150
-17.99999894,0.00000000,0.39370070
-17.59999893,-1.57480300,0.78740150
-17.19999893,0.00000000,0.00000000
-16.79999892,-0.78740150,0.00000000
-16.39999891,-0.39370070,-0.78740150
-15.99999891,-1.18110200,-0.39370070
-15.59999890,-0.78740150,0.00000000
-15.19999890,-1.18110200,0.39370070
-14.79999889,0.00000000,0.00000000
-14.39999889,-0.78740150,0.39370070
-13.99999888,-0.78740150,0.00000000
-13.59999888,-1.18110200,0.00000000
-13.19999887,-0.39370070,0.00000000
-12.79999887,0.00000000,0.78740150
-12.39999886,-0.39370070,0.00000000
-11.99999886,-0.39370070,0.00000000
-11.59999885,0.39370070,0.39370070
-11.19999885,-1.18110200,0.39370070
-10.79999884,-0.39370070,0.00000000
-10.39999883,-0.78740150,0.39370070
-9.99999883,-0.39370070,-0.39370070
-9.59999882,-0.39370070,0.78740150
-9.19999882,-0.39370070,0.00000000
-8.79999881,-0.39370070,0.39370070
-8.39999881,0.00000000,0.00000000
-7.99999880,-0.39370070,0.00000000
-7.59999880,0.00000000,0.00000000
-7.19999879,-1.18110200,0.00000000
-6.79999879,0.39370070,0.00000000
-6.39999878,-1.18110200,0.00000000
-5.99999878,0.39370070,0.00000000
-5.59999877,-0.78740150,0.39370070
-5.19999876,-0.39370070,-0.39370070
-4.79999876,-0.78740150,0.39370070
-4.39999875,0.00000000,0.39370070
-3.99999875,-0.39370070,0.00000000
-3.59999874,-0.39370070,-0.78740150
-3.19999874,-0.39370070,0.39370070
-2.79999873,0.00000000,0.00000000
-2.39999873,-0.78740150,0.39370070
-1.99999872,0.00000000,0.00000000
-1.59999872,-0.39370070,0.39370070
-1.19999871,0.00000000,0.78740150
-0.79999871,-1.18110200,1.57480300
-0.39999870,0.00000000,2.75590500
0.00000130,-0.39370070,3.93700800
0.40000131,-0.39370070,3.14960600
0.80000132,-0.78740150,3.54330700
1.20000132,0.00000000,3.14960600
1.60000133,0.00000000,3.14960600
2.00000133,-0.39370070,2.36220500
2.40000134,-1.18110200,2.75590500
2.80000134,-0.39370070,1.96850400
3.20000135,-0.78740150,2.36220500
3.60000135,-0.39370070,1.18110200
4.00000136,-0.78740150,1.57480300
4.40000136,-0.39370070,0.78740150
4.80000137,-0.78740150,0.78740150
5.20000137,-0.39370070,0.00000000
5.60000138,-0.39370070,0.39370070
6.00000138,-0.39370070,0.39370070
6.40000139,-0.78740150,0.39370070
6.80000140,0.00000000,0.00000000
7.20000140,-0.39370070,0.39370070
7.60000141,0.00000000,0.00000000
8.00000141,-1.18110200,0.39370070
8.40000142,0.00000000,0.00000000
8.80000142,-0.78740150,0.78740150
9.20000143,-0.39370070,0.39370070
9.60000143,-1.18110200,0.39370070
10.00000144,-0.78740150,-0.39370070
10.40000144,-0.78740150,0.00000000
10.80000145,0.00000000,0.00000000
11.20000145,-0.78740150,0.39370070
11.60000146,-0.39370070,0.00000000
12.00000146,-1.18110200,0.00000000
12.40000147,-0.39370070,0.00000000
12.80000148,0.00000000,0.39370070
13.20000148,-0.39370070,0.00000000
13.60000149,-1.18110200,0.39370070
14.00000149,0.00000000,0.00000000
14.40000150,-0.78740150,0.00000000
14.80000150,0.39370070,0.00000000
15.20000151,-1.18110200,0.39370070
15.60000151,-0.39370070,-0.39370070
16.00000152,-0.78740150,0.00000000
16.40000152,0.00000000,0.00000000
16.80000153,-0.78740150,0.39370070
17.20000153,0.39370070,-0.39370070
17.60000154,-0.78740150,0.39370070
18.00000154,-0.39370070,-0.39370070
18.40000155,-0.78740150,0.39370070
18.80000156,-0.39370070,0.00000000
19.20000156,-0.39370070,0.00000000
19.60000157,-0.39370070,-0.39370070
20.00000157,-0.78740150,0.00000000
