Time,Channel A,Channel B,Channel C
(ns),(V),(mV),(mV)

-11.57419338,1.55905500,0.39370070,-1.18110200
-10.77419337,1.55905500,0.39370070,-0.78740150
-9.97419336,1.57480300,0.39370070,-0.78740150
-9.17419335,1.57480300,0.00000000,-0.78740150
-8.37419334,1.57480300,0.39370070,-1.18110200
-7.57419333,1.55905500,-0.39370070,-1.18110200
-6.77419332,1.55905500,-0.39370070,-0.78740150
-5.97419331,1.57480300,-0.39370070,-0.78740150
-5.17419330,1.55905500,0.39370070,-1.18110200
-4.37419329,1.55905500,0.00000000,-1.18110200
-3.57419327,1.55905500,0.39370070,-0.78740150
-2.77419326,1.55905500,0.78740150,-1.18110200
-1.97419325,1.55905500,0.78740150,-0.78740150
-1.17419324,1.55905500,0.00000000,-1.18110200
-0.37419323,0.96062990,0.78740150,-0.78740150
0.42580678,-0.01574803,0.78740150,-1.18110200
1.22580679,-0.03149606,0.00000000,-1.18110200
2.02580680,0.04724409,0.00000000,-0.78740150
2.82580681,0.07874016,0.00000000,-1.18110200
3.62580682,0.12598430,0.39370070,-1.18110200
4.42580683,0.07874016,0.00000000,-1.18110200
5.22580684,0.06299213,0.39370070,-1.18110200
6.02580685,0.06299213,0.78740150,-1.18110200
6.82580686,0.06299213,0.39370070,-1.18110200
7.62580687,0.04724409,0.39370070,-0.78740150
8.42580689,0.06299213,0.39370070,-0.39370070
9.22580690,0.04724409,0.39370070,-1.18110200
10.02580691,0.04724409,0.00000000,-1.18110200
10.82580692,0.03149606,0.00000000,-1.18110200
11.62580693,0.04724409,0.78740150,0.39370070
12.42580694,0.04724409,0.78740150,2.75590500
13.22580695,0.04724409,1.96850400,2.75590500
14.02580696,0.03149606,3.54330700,3.54330700
14.82580697,0.03149606,3.93700800,3.14960600
15.62580698,0.03149606,3.93700800,3.93700800
16.42580699,0.04724409,3.93700800,3.93700800
17.22580700,0.01574803,5.11811000,3.93700800
18.02580701,0.03149606,4.33070900,3.54330700
18.82580702,0.03149606,4.33070900,3.93700800
19.62580704,0.01574803,4.33070900,4.33070900
20.42580705,0.01574803,4.72440900,3.93700800
21.22580706,0.03149606,5.11811000,3.54330700
22.02580707,0.01574803,4.72440900,4.33070900
22.82580708,0.03149606,4.33070900,3.93700800
23.62580709,0.03149606,5.11811000,3.93700800
24.42580710,0.03149606,4.72440900,3.93700800
25.22580711,0.03149606,4.72440900,4.72440900
26.02580712,0.03149606,4.33070900,3.93700800
26.82580713,0.01574803,4.33070900,4.33070900
27.62580714,0.03149606,4.72440900,4.33070900
28.42580715,0.03149606,3.93700800,3.93700800
29.22580716,0.03149606,4.33070900,3.54330700
30.02580717,0.01574803,3.93700800,3.54330700
30.82580718,0.01574803,4.72440900,3.93700800
31.62580720,0.01574803,4.72440900,3.14960600
32.42580721,0.01574803,3.93700800,3.54330700
33.22580722,0.01574803,5.11811000,3.14960600
34.02580723,0.03149606,4.72440900,3.14960600
34.82580724,0.03149606,3.93700800,2.75590500
35.62580725,0.01574803,3.93700800,3.54330700
36.42580726,0.01574803,4.33070900,3.14960600
37.22580727,0.03149606,4.33070900,2.75590500
38.02580728,0.01574803,3.14960600,3.14960600
38.82580729,0.01574803,3.93700800,2.36220500
39.62580730,0.03149606,4.72440900,3.54330700
40.42580731,0.03149606,3.54330700,3.14960600
41.22580732,0.03149606,3.93700800,3.54330700
42.02580733,0.01574803,4.33070900,3.54330700
42.82580734,0.01574803,3.93700800,3.54330700
43.62580736,0.01574803,3.93700800,3.54330700
44.42580737,0.01574803,3.93700800,3.93700800
45.22580738,0.01574803,3.54330700,3.14960600
46.02580739,0.01574803,3.14960600,3.14960600
46.82580740,0.01574803,3.14960600,3.14960600
47.62580741,0.01574803,3.54330700,2.75590500
48.42580742,0.01574803,3.54330700,3.54330700
49.22580743,0.01574803,3.14960600,2.75590500
50.02580744,0.01574803,3.54330700,3.14960600
50.82580745,0.03149606,3.54330700,2.75590500
51.62580746,0.01574803,3.93700800,2.75590500
52.42580747,0.01574803,3.93700800,3.14960600
53.22580748,0.01574803,3.14960600,3.14960600
54.02580749,0.01574803,3.54330700,2.75590500
54.82580751,0.01574803,3.54330700,3.14960600
55.62580752,0.01574803,3.93700800,2.75590500
56.42580753,0.00000000,3.54330700,2.75590500
57.22580754,0.01574803,3.54330700,3.14960600
58.02580755,0.01574803,2.75590500,2.75590500
58.82580756,0.01574803,3.14960600,2.36220500
59.62580757,0.01574803,2.75590500,2.75590500
60.42580758,0.01574803,3.14960600,2.75590500
61.22580759,0.01574803,3.54330700,1.96850400
62.02580760,0.01574803,2.75590500,2.36220500
62.82580761,0.01574803,3.14960600,2.36220500
63.62580762,0.01574803,3.14960600,2.36220500
64.42580763,0.01574803,2.75590500,2.36220500
65.22580764,0.01574803,2.75590500,1.96850400
66.02580765,0.01574803,3.54330700,2.75590500
66.82580767,0.01574803,2.75590500,1.96850400
67.62580768,0.01574803,2.75590500,2.36220500
68.42580769,0.01574803,2.36220500,1.57480300
69.22580770,0.01574803,2.75590500,1.57480300
70.02580771,0.01574803,3.14960600,1.96850400
70.82580772,0.01574803,2.75590500,2.36220500
71.62580773,0.01574803,2.75590500,1.96850400
72.42580774,0.00000000,2.36220500,1.96850400
73.22580775,0.01574803,3.14960600,1.96850400
74.02580776,0.01574803,2.36220500,1.96850400
74.82580777,0.00000000,2.75590500,2.36220500
75.62580778,0.00000000,2.36220500,1.96850400
76.42580779,0.01574803,2.75590500,1.57480300
77.22580780,0.01574803,2.75590500,1.96850400
78.02580781,0.01574803,2.36220500,1.96850400
78.82580783,0.03149606,2.36220500,1.18110200
79.62580784,0.01574803,2.36220500,1.57480300
80.42580785,0.01574803,2.36220500,1.57480300
81.22580786,0.01574803,2.75590500,1.57480300
82.02580787,0.00000000,2.75590500,1.57480300
82.82580788,0.00000000,2.75590500,1.96850400
83.62580789,0.01574803,2.36220500,1.57480300
84.42580790,0.01574803,1.96850400,1.96850400
85.22580791,0.01574803,2.75590500,1.96850400
86.02580792,0.00000000,2.75590500,1.57480300
86.82580793,0.01574803,2.36220500,1.18110200
87.62580794,0.00000000,2.36220500,1.18110200
88.42580795,0.01574803,2.36220500,1.57480300
89.22580796,0.00000000,2.36220500,1.57480300
90.02580798,0.01574803,1.96850400,1.18110200
90.82580799,0.01574803,2.36220500,0.78740150
91.62580800,0.01574803,2.75590500,1.18110200
92.42580801,0.00000000,2.36220500,1.57480300
93.22580802,0.01574803,1.96850400,0.78740150
