Time,Channel B,Channel C
(ns),(mV),(mV)

-11.20000012,-1.18110200,-1.18110200
-10.80000012,-1.57480300,-0.39370070
-10.40000011,-1.18110200,-0.78740150
-10.00000011,-1.57480300,-0.39370070
-9.60000010,-0.78740150,-0.78740150
-9.20000010,-1.57480300,-0.39370070
-8.80000009,-1.18110200,-0.78740150
-8.40000008,-1.18110200,-0.78740150
-8.00000008,-1.18110200,-1.18110200
-7.60000007,-2.36220500,-0.39370070
-7.20000007,-1.18110200,-1.18110200
-6.80000006,-1.96850400,-0.39370070
-6.40000006,-1.57480300,-0.78740150
-6.00000005,-1.96850400,-0.78740150
-5.60000005,-0.78740150,-1.18110200
-5.20000004,-1.96850400,-0.39370070
-4.80000004,-1.18110200,-1.18110200
-4.40000003,-1.96850400,-0.39370070
-4.00000003,-1.18110200,-0.78740150
-3.60000002,-1.57480300,-0.39370070
-3.20000001,-1.18110200,-0.39370070
-2.80000001,-1.96850400,0.00000000
-2.40000000,-0.78740150,0.78740150
-2.00000000,-1.57480300,1.57480300
-1.59999999,-1.18110200,1.96850400
-1.19999999,-1.57480300,2.75590500
-0.79999998,-1.18110200,3.14960600
-0.39999998,-2.36220500,3.54330700
0.00000003,-1.18110200,3.93700800
0.40000003,-1.57480300,3.14960600
0.80000004,-0.78740150,2.75590500
1.20000004,-1.57480300,2.75590500
1.60000005,-1.57480300,1.96850400
2.00000005,-1.57480300,2.75590500
2.40000006,-0.78740150,1.18110200
2.80000007,-1.96850400,1.18110200
3.20000007,-1.18110200,0.39370070
3.60000008,-1.96850400,0.78740150
4.00000008,-1.18110200,0.78740150
4.40000009,-2.36220500,0.78740150
4.80000009,-1.57480300,0.00000000
5.20000010,-1.96850400,0.00000000
5.60000010,-1.57480300,0.00000000
6.00000011,-1.96850400,-0.39370070
6.40000011,-1.57480300,0.00000000
6.80000012,-1.96850400,0.00000000
7.20000012,-1.57480300,-0.39370070
7.60000013,-1.57480300,-0.78740150
8.00000013,-0.78740150,-0.78740150
8.40000014,-1.96850400,-0.39370070
8.80000015,-1.57480300,-0.78740150
9.20000015,-1.96850400,-0.39370070
9.60000016,-1.57480300,-1.18110200
10.00000016,-1.18110200,-0.39370070
10.40000017,-0.78740150,-1.18110200
10.80000017,-1.96850400,-0.78740150
11.20000018,-1.18110200,-0.78740150
11.60000018,-1.96850400,-0.78740150
12.00000019,-1.57480300,-0.78740150
12.40000019,-0.78740150,-0.78740150
12.80000020,-1.18110200,-1.57480300
13.20000020,-1.57480300,-0.39370070
13.60000021,-1.57480300,-0.78740150
14.00000021,-1.96850400,-0.78740150
14.40000022,-0.78740150,-1.18110200
14.80000023,-1.57480300,-0.78740150
15.20000023,-1.57480300,-1.18110200
15.60000024,-1.57480300,-0.39370070
16.00000024,-1.57480300,-0.78740150
16.40000025,-1.96850400,-1.18110200
16.80000025,-0.78740150,-1.18110200
17.20000026,-1.96850400,-1.18110200
17.60000026,-1.18110200,-1.57480300
18.00000027,-1.57480300,-0.78740150
18.40000027,-0.78740150,-0.78740150
18.80000028,-1.96850400,-0.78740150
19.20000028,-1.57480300,-0.78740150
19.60000029,-1.57480300,-0.39370070
20.00000029,-0.39370070,-0.78740150
20.40000030,-1.57480300,-0.78740150
20.80000031,-1.18110200,-1.57480300
21.20000031,-1.96850400,-0.78740150
21.60000032,-1.18110200,-1.18110200
22.00000032,-1.57480300,-0.78740150
22.40000033,-0.39370070,-1.18110200
22.80000033,-1.18110200,-0.39370070
23.20000034,-0.39370070,-1.57480300
23.60000034,-1.96850400,-0.39370070
24.00000035,-1.18110200,-0.78740150
24.40000035,-1.96850400,0.00000000
24.80000036,-1.18110200,0.00000000
25.20000036,-0.78740150,0.39370070
25.60000037,-1.18110200,0.78740150
26.00000037,-1.96850400,1.57480300
26.40000038,-1.18110200,1.18110200
26.80000039,-1.57480300,1.96850400
27.20000039,-1.18110200,2.36220500
27.60000040,-1.96850400,2.36220500
28.00000040,-0.78740150,1.57480300
28.40000041,-2.36220500,1.96850400
28.80000041,-0.78740150,1.18110200
29.20000042,-1.57480300,1.57480300
29.60000042,-1.18110200,1.96850400
30.00000043,-1.57480300,1.96850400
30.40000043,-0.78740150,0.78740150
30.80000044,-1.57480300,1.18110200
31.20000044,-1.18110200,0.78740150
31.60000045,-1.18110200,0.39370070
32.00000046,-0.39370070,0.00000000
32.40000046,-1.57480300,0.39370070
32.80000047,-1.18110200,0.00000000
33.20000047,-1.57480300,0.39370070
33.60000048,-0.78740150,-0.78740150
34.00000048,-1.96850400,-0.39370070
34.40000049,-1.18110200,-0.39370070
34.80000049,-1.57480300,-0.39370070
35.20000050,-1.18110200,-0.78740150
35.60000050,-1.57480300,-0.78740150
36.00000051,-0.78740150,-0.39370070
36.40000051,-1.96850400,-0.78740150
36.80000052,-1.18110200,-0.78740150
37.20000052,-1.57480300,-0.39370070
37.60000053,-1.18110200,-1.18110200
38.00000054,-1.18110200,-0.78740150
38.40000054,-0.78740150,-0.78740150
38.80000055,-1.57480300,-1.18110200
39.20000055,-0.39370070,-1.18110200
39.60000056,-1.96850400,-0.39370070
40.00000056,-1.18110200,-1.57480300
40.40000057,-1.57480300,-0.78740150
40.80000057,-0.78740150,-1.57480300
41.20000058,-1.18110200,-1.18110200
41.60000058,-0.78740150,-1.18110200
