Time,Channel A,Channel B,Channel C
(ns),(V),(mV),(mV)

-11.25853655,1.55905500,0.00000000,-1.57480300
-10.45853654,1.55905500,0.00000000,-0.78740150
-9.65853653,1.55905500,0.00000000,-1.18110200
-8.85853652,1.57480300,-0.39370070,-1.18110200
-8.05853650,1.57480300,0.00000000,-1.18110200
-7.25853649,1.57480300,0.39370070,-1.18110200
-6.45853648,1.55905500,0.39370070,-1.57480300
-5.65853647,1.55905500,0.00000000,-1.57480300
-4.85853646,1.55905500,0.00000000,-1.18110200
-4.05853645,1.55905500,0.00000000,-1.18110200
-3.25853644,1.55905500,0.39370070,-1.57480300
-2.45853643,1.57480300,0.39370070,-1.18110200
-1.65853642,1.55905500,0.39370070,-0.78740150
-0.85853641,1.54330700,0.00000000,-1.18110200
-0.05853640,0.55118110,0.39370070,-1.18110200
0.74146361,-0.09448819,0.39370070,-1.18110200
1.54146362,0.01574803,-0.39370070,-1.18110200
2.34146363,0.04724409,0.00000000,-1.57480300
3.14146364,0.09448819,-0.39370070,-1.18110200
3.94146366,0.11023620,0.00000000,-1.57480300
4.74146367,0.06299213,-0.78740150,-0.39370070
5.54146368,0.06299213,0.00000000,-1.18110200
6.34146369,0.06299213,0.00000000,-1.57480300
7.14146370,0.06299213,-0.39370070,-1.18110200
7.94146371,0.04724409,0.00000000,-1.18110200
8.74146372,0.04724409,0.78740150,-1.18110200
9.54146373,0.04724409,0.39370070,-1.57480300
10.34146374,0.04724409,0.39370070,-1.18110200
11.14146375,0.03149606,0.39370070,-0.39370070
11.94146376,0.04724409,0.00000000,0.78740150
12.74146377,0.04724409,1.18110200,1.96850400
13.54146378,0.03149606,3.14960600,2.75590500
14.34146379,0.03149606,3.54330700,3.14960600
15.14146380,0.03149606,4.72440900,3.54330700
15.94146382,0.03149606,4.72440900,3.54330700
16.74146383,0.03149606,5.51181100,3.54330700
17.54146384,0.03149606,4.72440900,3.93700800
18.34146385,0.03149606,5.11811000,3.93700800
19.14146386,0.03149606,5.51181100,3.54330700
19.94146387,0.03149606,5.51181100,3.93700800
20.74146388,0.01574803,5.51181100,3.54330700
21.54146389,0.01574803,4.72440900,3.54330700
22.34146390,0.03149606,5.51181100,3.54330700
23.14146391,0.03149606,5.51181100,3.93700800
23.94146392,0.03149606,5.51181100,3.93700800
24.74146393,0.03149606,5.51181100,3.93700800
25.54146394,0.03149606,5.11811000,3.54330700
26.34146395,0.03149606,5.90551100,3.14960600
27.14146397,0.03149606,4.72440900,3.54330700
27.94146398,0.01574803,5.51181100,3.93700800
28.74146399,0.01574803,5.51181100,3.14960600
29.54146400,0.03149606,5.51181100,3.54330700
30.34146401,0.01574803,5.51181100,3.54330700
31.14146402,0.01574803,5.51181100,2.36220500
31.94146403,0.01574803,5.51181100,2.75590500
32.74146404,0.01574803,5.51181100,2.75590500
33.54146405,0.01574803,4.33070900,2.75590500
34.34146406,0.04724409,4.33070900,2.75590500
35.14146407,0.03149606,4.72440900,2.75590500
35.94146408,0.01574803,4.72440900,2.75590500
36.74146409,0.01574803,5.11811000,2.75590500
37.54146410,0.01574803,5.51181100,2.36220500
38.34146411,0.01574803,5.51181100,2.75590500
39.14146413,0.01574803,5.11811000,1.96850400
39.94146414,0.01574803,5.11811000,2.36220500
40.74146415,0.03149606,4.72440900,2.36220500
41.54146416,0.01574803,5.11811000,1.57480300
42.34146417,0.01574803,5.11811000,2.36220500
43.14146418,0.03149606,5.11811000,2.75590500
43.94146419,0.01574803,4.33070900,1.96850400
44.74146420,0.01574803,4.72440900,1.96850400
45.54146421,0.01574803,4.72440900,2.36220500
46.34146422,0.01574803,4.72440900,1.96850400
47.14146423,0.01574803,4.72440900,2.75590500
47.94146424,0.01574803,4.72440900,2.75590500
48.74146425,0.03149606,4.72440900,2.75590500
49.54146426,0.01574803,4.72440900,2.36220500
50.34146427,0.01574803,3.93700800,2.36220500
51.14146429,0.01574803,4.33070900,2.36220500
51.94146430,0.01574803,3.54330700,2.75590500
52.74146431,0.01574803,4.33070900,2.36220500
53.54146432,0.01574803,4.72440900,2.36220500
54.34146433,0.00000000,4.33070900,2.36220500
55.14146434,0.01574803,4.33070900,2.36220500
55.94146435,0.01574803,4.33070900,2.36220500
56.74146436,0.01574803,3.93700800,1.96850400
57.54146437,0.01574803,3.54330700,1.57480300
58.34146438,0.01574803,4.72440900,1.57480300
59.14146439,0.00000000,3.54330700,1.96850400
59.94146440,0.01574803,3.93700800,1.57480300
60.74146441,0.01574803,3.54330700,1.57480300
61.54146442,0.01574803,3.54330700,1.57480300
62.34146444,0.01574803,3.93700800,1.57480300
63.14146445,0.01574803,3.93700800,1.57480300
63.94146446,0.01574803,3.14960600,1.96850400
64.74146447,0.01574803,3.93700800,1.57480300
65.54146448,0.00000000,3.54330700,1.57480300
66.34146449,0.01574803,3.93700800,1.96850400
67.14146450,0.01574803,3.93700800,1.57480300
67.94146451,0.01574803,3.14960600,1.96850400
68.74146452,0.01574803,3.54330700,1.57480300
69.54146453,0.01574803,3.93700800,1.18110200
70.34146454,0.01574803,3.14960600,1.18110200
71.14146455,0.01574803,3.93700800,1.18110200
71.94146456,0.01574803,3.14960600,1.18110200
72.74146457,0.01574803,3.14960600,1.57480300
73.54146458,0.01574803,3.14960600,1.18110200
74.34146460,0.01574803,3.14960600,1.18110200
75.14146461,0.00000000,3.14960600,1.18110200
75.94146462,0.01574803,2.75590500,1.57480300
76.74146463,0.01574803,3.14960600,1.18110200
77.54146464,0.01574803,2.75590500,1.18110200
78.34146465,0.01574803,2.75590500,0.78740150
79.14146466,0.01574803,3.14960600,0.78740150
79.94146467,0.01574803,2.75590500,1.18110200
80.74146468,0.01574803,2.75590500,1.18110200
81.54146469,0.01574803,3.14960600,0.78740150
82.34146470,0.00000000,3.14960600,1.18110200
83.14146471,0.01574803,3.14960600,0.78740150
83.94146472,0.00000000,2.75590500,1.18110200
84.74146473,0.00000000,3.14960600,0.78740150
85.54146474,0.00000000,3.14960600,0.78740150
86.34146476,0.01574803,3.14960600,0.78740150
87.14146477,0.01574803,2.75590500,0.39370070
87.94146478,0.01574803,2.75590500,0.39370070
88.74146479,0.01574803,2.75590500,0.39370070
89.54146480,0.00000000,2.36220500,0.78740150
90.34146481,0.00000000,2.75590500,0.78740150
91.14146482,0.01574803,2.36220500,0.78740150
91.94146483,0.00000000,2.75590500,0.78740150
92.74146484,0.01574803,1.96850400,1.18110200
93.54146485,0.01574803,2.36220500,0.78740150
