Time,Channel A,Channel B,Channel C
(ns),(V),(mV),(mV)

-11.98787758,1.55905500,0.78740150,-0.78740150
-11.18787757,1.55905500,0.39370070,-1.18110200
-10.38787756,1.57480300,0.39370070,-0.78740150
-9.58787755,1.55905500,0.00000000,-1.18110200
-8.78787754,1.55905500,0.00000000,-1.18110200
-7.98787753,1.57480300,0.78740150,-1.18110200
-7.18787752,1.55905500,1.18110200,-1.96850400
-6.38787750,1.57480300,-0.39370070,-1.18110200
-5.58787749,1.55905500,0.00000000,-1.57480300
-4.78787748,1.55905500,-0.39370070,-1.96850400
-3.98787747,1.55905500,0.00000000,-1.57480300
-3.18787746,1.57480300,0.00000000,-1.18110200
-2.38787745,1.55905500,-0.39370070,-1.18110200
-1.58787744,1.57480300,0.39370070,-1.57480300
-0.78787743,1.52755900,0.39370070,-1.18110200
0.01212258,0.48818900,0.78740150,-1.18110200
0.81212259,-0.11023620,0.00000000,-1.57480300
1.61212260,0.03149606,0.39370070,-1.18110200
2.41212261,0.06299213,0.00000000,-1.18110200
3.21212262,0.11023620,0.00000000,-1.18110200
4.01212263,0.09448819,0.39370070,-1.18110200
4.81212264,0.06299213,0.00000000,-1.57480300
5.61212266,0.06299213,0.78740150,-1.18110200
6.41212267,0.06299213,0.00000000,-1.18110200
7.21212268,0.06299213,0.39370070,-1.18110200
8.01212269,0.04724409,0.00000000,-1.18110200
8.81212270,0.04724409,0.00000000,-1.57480300
9.61212271,0.04724409,0.00000000,-1.18110200
10.41212272,0.04724409,0.39370070,-1.18110200
11.21212273,0.03149606,0.00000000,-1.18110200
12.01212274,0.04724409,0.00000000,0.39370070
12.81212275,0.04724409,1.57480300,1.96850400
13.61212276,0.04724409,1.96850400,2.36220500
14.41212277,0.04724409,3.14960600,2.75590500
15.21212278,0.03149606,3.14960600,2.75590500
16.01212279,0.03149606,4.72440900,2.75590500
16.81212281,0.03149606,3.93700800,2.75590500
17.61212282,0.03149606,3.54330700,3.54330700
18.41212283,0.03149606,3.54330700,2.75590500
19.21212284,0.03149606,3.14960600,2.75590500
20.01212285,0.03149606,3.54330700,3.14960600
20.81212286,0.03149606,4.33070900,2.75590500
21.61212287,0.03149606,3.93700800,3.54330700
22.41212288,0.03149606,4.33070900,3.54330700
23.21212289,0.03149606,3.93700800,3.93700800
24.01212290,0.03149606,3.54330700,3.54330700
24.81212291,0.01574803,4.33070900,3.54330700
25.61212292,0.01574803,3.93700800,4.33070900
26.41212293,0.01574803,3.54330700,3.93700800
27.21212294,0.03149606,3.93700800,3.93700800
28.01212295,0.03149606,3.93700800,3.93700800
28.81212297,0.03149606,4.33070900,3.93700800
29.61212298,0.01574803,3.54330700,3.54330700
30.41212299,0.00000000,3.14960600,3.93700800
31.21212300,0.03149606,3.93700800,3.54330700
32.01212301,0.01574803,3.54330700,3.54330700
32.81212302,0.00000000,3.54330700,3.93700800
33.61212303,0.01574803,3.14960600,3.93700800
34.41212304,0.03149606,3.54330700,3.54330700
35.21212305,0.01574803,3.54330700,3.54330700
36.01212306,0.01574803,3.54330700,3.14960600
36.81212307,0.01574803,3.54330700,3.54330700
37.61212308,0.01574803,3.14960600,3.54330700
38.41212309,0.01574803,3.54330700,3.14960600
39.21212310,0.03149606,2.75590500,3.93700800
40.01212311,0.01574803,3.54330700,3.54330700
40.81212313,0.01574803,3.14960600,3.54330700
41.61212314,0.01574803,3.14960600,3.54330700
42.41212315,0.01574803,3.54330700,3.14960600
43.21212316,0.01574803,3.14960600,3.54330700
44.01212317,0.01574803,3.14960600,3.54330700
44.81212318,0.01574803,3.14960600,3.14960600
45.61212319,0.01574803,3.14960600,3.14960600
46.41212320,0.01574803,2.75590500,3.54330700
47.21212321,0.01574803,3.14960600,3.14960600
48.01212322,0.01574803,2.75590500,2.75590500
48.81212323,0.03149606,3.14960600,3.14960600
49.61212324,0.01574803,3.14960600,3.14960600
50.41212325,0.01574803,3.14960600,3.14960600
51.21212326,0.01574803,2.75590500,3.14960600
52.01212327,0.01574803,3.54330700,3.14960600
52.81212329,0.01574803,3.54330700,2.75590500
53.61212330,0.01574803,3.14960600,2.75590500
54.41212331,0.01574803,3.14960600,3.14960600
55.21212332,0.00000000,3.14960600,2.75590500
56.01212333,0.01574803,2.75590500,2.75590500
56.81212334,0.03149606,3.14960600,3.14960600
57.61212335,0.01574803,2.75590500,3.14960600
58.41212336,0.01574803,3.14960600,3.54330700
59.21212337,0.01574803,2.36220500,2.75590500
60.01212338,0.01574803,3.14960600,2.75590500
60.81212339,0.01574803,3.14960600,3.14960600
61.61212340,0.01574803,3.14960600,2.75590500
62.41212341,0.01574803,2.75590500,2.75590500
63.21212342,0.01574803,3.14960600,2.75590500
64.01212344,0.01574803,3.14960600,2.36220500
64.81212345,0.01574803,3.14960600,2.75590500
65.61212346,0.01574803,2.75590500,2.36220500
66.41212347,0.01574803,3.14960600,2.75590500
67.21212348,0.01574803,2.75590500,2.36220500
68.01212349,0.01574803,2.75590500,2.75590500
68.81212350,0.01574803,2.36220500,2.75590500
69.61212351,0.01574803,2.75590500,1.57480300
70.41212352,0.00000000,2.75590500,2.36220500
71.21212353,0.03149606,2.75590500,2.36220500
72.01212354,0.01574803,2.75590500,2.36220500
72.81212355,0.00000000,3.14960600,2.36220500
73.61212356,0.01574803,2.36220500,2.36220500
74.41212357,0.01574803,2.75590500,2.36220500
75.21212358,0.01574803,2.75590500,1.96850400
76.01212360,0.01574803,2.75590500,1.57480300
76.81212361,0.01574803,2.36220500,1.96850400
77.61212362,0.00000000,2.75590500,1.96850400
78.41212363,0.01574803,1.96850400,2.36220500
79.21212364,0.01574803,2.36220500,2.36220500
80.01212365,0.01574803,2.36220500,1.57480300
80.81212366,0.01574803,2.36220500,1.57480300
81.61212367,0.01574803,2.36220500,1.96850400
82.41212368,0.00000000,1.96850400,2.36220500
83.21212369,0.01574803,2.36220500,1.96850400
84.01212370,0.00000000,2.75590500,1.96850400
84.81212371,0.00000000,1.96850400,1.57480300
85.61212372,0.01574803,1.96850400,1.18110200
86.41212373,0.01574803,1.96850400,1.18110200
87.21212374,0.01574803,1.96850400,1.57480300
88.01212376,0.01574803,1.18110200,1.18110200
88.81212377,0.01574803,2.36220500,0.78740150
89.61212378,0.01574803,1.96850400,1.18110200
90.41212379,0.00000000,2.36220500,1.18110200
91.21212380,0.01574803,1.96850400,1.18110200
92.01212381,0.01574803,1.96850400,1.18110200
92.81212382,0.01574803,1.96850400,1.18110200
