Time,Channel A,Channel B,Channel C
(ns),(V),(mV),(mV)

-11.54666607,1.57480300,0.00000000,-1.18110200
-10.74666606,1.57480300,0.00000000,-0.78740150
-9.94666605,1.55905500,0.00000000,-0.78740150
-9.14666604,1.57480300,0.39370070,-1.18110200
-8.34666603,1.55905500,0.00000000,-0.78740150
-7.54666601,1.57480300,0.39370070,-0.78740150
-6.74666600,1.55905500,0.78740150,-0.78740150
-5.94666599,1.55905500,0.39370070,-1.18110200
-5.14666598,1.57480300,0.00000000,-1.18110200
-4.34666597,1.57480300,0.00000000,-0.78740150
-3.54666596,1.57480300,0.39370070,-0.78740150
-2.74666595,1.57480300,-0.39370070,-0.78740150
-1.94666594,1.57480300,0.00000000,-0.39370070
-1.14666593,1.55905500,0.00000000,-0.78740150
-0.34666592,0.91338580,0.78740150,-0.39370070
0.45333409,-0.03149606,-0.39370070,-0.78740150
1.25333410,-0.01574803,0.39370070,-0.78740150
2.05333411,0.04724409,0.39370070,-0.39370070
2.85333412,0.07874016,0.00000000,-1.18110200
3.65333414,0.11023620,0.00000000,-1.57480300
4.45333415,0.06299213,0.00000000,-1.18110200
5.25333416,0.04724409,0.39370070,-1.18110200
6.05333417,0.06299213,0.00000000,-1.18110200
6.85333418,0.06299213,0.78740150,-0.78740150
7.65333419,0.06299213,0.39370070,-1.18110200
8.45333420,0.06299213,0.00000000,-0.78740150
9.25333421,0.04724409,0.39370070,-1.18110200
10.05333422,0.04724409,0.39370070,0.00000000
10.85333423,0.03149606,0.00000000,-0.39370070
11.65333424,0.03149606,0.00000000,1.18110200
12.45333425,0.04724409,1.57480300,1.96850400
13.25333426,0.03149606,3.54330700,2.36220500
14.05333427,0.03149606,4.72440900,2.75590500
14.85333428,0.03149606,6.29921200,2.75590500
15.65333430,0.03149606,5.90551100,2.75590500
16.45333431,0.04724409,7.08661400,2.75590500
17.25333432,0.03149606,7.08661400,3.54330700
18.05333433,0.03149606,7.48031400,2.75590500
18.85333434,0.01574803,7.48031400,2.75590500
19.65333435,0.01574803,7.48031400,2.75590500
20.45333436,0.03149606,7.48031400,3.14960600
21.25333437,0.03149606,7.87401500,2.75590500
22.05333438,0.01574803,7.87401500,2.75590500
22.85333439,0.01574803,7.48031400,3.14960600
23.65333440,0.01574803,7.87401500,2.75590500
24.45333441,0.03149606,7.48031400,3.14960600
25.25333442,0.01574803,8.26771600,2.75590500
26.05333443,0.03149606,7.48031400,2.75590500
26.85333444,0.03149606,7.48031400,2.75590500
27.65333446,0.01574803,7.87401500,2.36220500
28.45333447,0.03149606,7.87401500,2.36220500
29.25333448,0.03149606,7.08661400,2.36220500
30.05333449,0.01574803,7.48031400,2.36220500
30.85333450,0.03149606,8.26771600,2.75590500
31.65333451,0.01574803,7.87401500,2.36220500
32.45333452,0.01574803,7.87401500,2.36220500
33.25333453,0.03149606,7.48031400,1.57480300
34.05333454,0.03149606,7.08661400,2.36220500
34.85333455,0.03149606,6.69291300,1.96850400
35.65333456,0.01574803,7.48031400,1.57480300
36.45333457,0.01574803,7.48031400,1.57480300
37.25333458,0.01574803,7.48031400,2.36220500
38.05333459,0.01574803,6.69291300,2.36220500
38.85333461,0.03149606,7.08661400,2.36220500
39.65333462,0.01574803,6.69291300,1.96850400
40.45333463,0.01574803,7.08661400,2.36220500
41.25333464,0.01574803,6.69291300,2.75590500
42.05333465,0.01574803,6.69291300,2.36220500
42.85333466,0.01574803,6.69291300,2.36220500
43.65333467,0.01574803,6.29921200,2.36220500
44.45333468,0.00000000,5.90551100,2.36220500
45.25333469,0.01574803,5.90551100,2.36220500
46.05333470,0.01574803,6.29921200,2.36220500
46.85333471,0.01574803,5.90551100,2.36220500
47.65333472,0.01574803,6.69291300,1.96850400
48.45333473,0.01574803,5.90551100,2.36220500
49.25333474,0.00000000,6.69291300,1.96850400
50.05333475,0.01574803,6.29921200,2.36220500
50.85333477,0.00000000,6.29921200,1.96850400
51.65333478,0.01574803,5.51181100,2.36220500
52.45333479,0.01574803,5.90551100,2.36220500
53.25333480,0.01574803,5.90551100,1.96850400
54.05333481,0.01574803,5.51181100,2.75590500
54.85333482,0.01574803,5.90551100,2.75590500
55.65333483,0.01574803,6.29921200,1.96850400
56.45333484,0.01574803,5.51181100,1.57480300
57.25333485,0.01574803,5.51181100,1.57480300
58.05333486,0.01574803,6.69291300,1.96850400
58.85333487,0.01574803,5.90551100,2.36220500
59.65333488,0.01574803,5.51181100,2.36220500
60.45333489,0.01574803,5.11811000,1.96850400
61.25333490,0.01574803,5.51181100,1.96850400
62.05333491,0.01574803,5.11811000,1.57480300
62.85333493,0.01574803,5.90551100,1.57480300
63.65333494,0.01574803,5.51181100,1.57480300
64.45333495,0.01574803,5.11811000,1.57480300
65.25333496,0.01574803,5.11811000,1.57480300
66.05333497,0.01574803,5.51181100,1.96850400
66.85333498,0.01574803,5.11811000,1.57480300
67.65333499,0.00000000,4.72440900,1.57480300
68.45333500,0.00000000,4.33070900,1.57480300
69.25333501,0.01574803,5.11811000,1.57480300
70.05333502,0.00000000,5.11811000,1.57480300
70.85333503,0.00000000,4.72440900,1.57480300
71.65333504,0.01574803,5.11811000,1.57480300
72.45333505,0.01574803,4.72440900,1.57480300
73.25333506,0.01574803,4.72440900,1.18110200
74.05333508,0.01574803,4.72440900,1.18110200
74.85333509,0.01574803,4.72440900,1.57480300
75.65333510,0.01574803,5.11811000,0.78740150
76.45333511,0.01574803,4.33070900,0.78740150
77.25333512,0.01574803,4.33070900,1.18110200
78.05333513,0.01574803,4.33070900,1.18110200
78.85333514,0.01574803,3.93700800,0.78740150
79.65333515,0.01574803,4.33070900,1.18110200
80.45333516,0.01574803,4.33070900,0.78740150
81.25333517,0.01574803,3.93700800,1.18110200
82.05333518,0.00000000,4.72440900,0.78740150
82.85333519,0.01574803,3.93700800,1.18110200
83.65333520,0.00000000,3.93700800,0.78740150
84.45333521,0.01574803,3.93700800,0.78740150
85.25333522,0.01574803,4.33070900,1.18110200
86.05333524,0.01574803,3.93700800,0.78740150
86.85333525,0.01574803,3.54330700,1.18110200
87.65333526,0.00000000,4.33070900,1.18110200
88.45333527,0.01574803,3.93700800,1.18110200
89.25333528,0.01574803,3.93700800,0.78740150
90.05333529,0.00000000,2.75590500,0.78740150
90.85333530,0.01574803,4.33070900,1.18110200
91.65333531,0.00000000,3.54330700,0.39370070
92.45333532,0.01574803,3.93700800,0.78740150
93.25333533,0.00000000,3.14960600,0.78740150
